route_id,agency_id,route_short_name,route_long_name,route_type,route_mode
R1,Stadtanalyse Transit,R1,R1 line,1,rail
R2,Stadtanalyse Transit,R2,R2 line,1,rail
R3,Stadtanalyse Transit,R3,R3 line,0,tram
R4,Stadtanalyse Transit,R4,R4 line,0,tram
R5,Stadtanalyse Transit,R5,R5 line,3,bus
R6,Stadtanalyse Transit,R6,R6 line,3,bus
R7,Stadtanalyse Transit,R7,R7 line,3,bus
R8,Stadtanalyse Transit,R8,R8 line,3,bus
R9,Stadtanalyse Transit,R9,R9 line,1,rail
B1,Stadtanalyse Transit,B1,B1 line,3,bus
B2,Stadtanalyse Transit,B2,B2 line,3,bus
