stop_id,stop_name,stop_lat,stop_lon,stop_zone
R1_0,R1 Stop 0,52.52,13.405,Z1
R1_1,R1 Stop 1,52.52,13.414872,Z1
R1_2,R1 Stop 2,52.52,13.424745,Z1
R1_3,R1 Stop 3,52.52,13.434617,Z1
R1_4,R1 Stop 4,52.52,13.44449,Z2
R1_5,R1 Stop 5,52.52,13.454362,Z2
R1_6,R1 Stop 6,52.52,13.464235,Z2
R1_7,R1 Stop 7,52.52,13.474107,Z2
R1_8,R1 Stop 8,52.52,13.48398,Z3
R1_9,R1 Stop 9,52.52,13.493852,Z3
R1_10,R1 Stop 10,52.52,13.503725,Z3
R1_11,R1 Stop 11,52.52,13.513597,Z3
R1_12,R1 Stop 12,52.52,13.52347,Z4
R1_13,R1 Stop 13,52.52,13.533342,Z4
R1_14,R1 Stop 14,52.52,13.543215,Z4
R1_15,R1 Stop 15,52.52,13.553087,Z4
R1_16,R1 Stop 16,52.52,13.56296,Z5
R1_17,R1 Stop 17,52.52,13.572832,Z5
R2_0,R2 Stop 0,52.52,13.405,Z1
R2_1,R2 Stop 1,52.52,13.391014,Z1
R2_2,R2 Stop 2,52.52,13.377028,Z1
R2_3,R2 Stop 3,52.52,13.363042,Z1
R2_4,R2 Stop 4,52.52,13.349056,Z2
R2_5,R2 Stop 5,52.52,13.33507,Z2
R2_6,R2 Stop 6,52.52,13.321084,Z2
R2_7,R2 Stop 7,52.52,13.307098,Z2
R2_8,R2 Stop 8,52.52,13.293112,Z3
R2_9,R2 Stop 9,52.52,13.279126,Z3
R2_10,R2 Stop 10,52.52,13.26514,Z3
R2_11,R2 Stop 11,52.52,13.251154,Z3
R2_12,R2 Stop 12,52.52,13.237168,Z4
R3_0,R3 Stop 0,52.52,13.405,Z1
R3_1,R3 Stop 1,52.527508,13.405,Z1
R3_2,R3 Stop 2,52.535015,13.405,Z1
R3_3,R3 Stop 3,52.542523,13.405,Z1
R3_4,R3 Stop 4,52.55003,13.405,Z2
R3_5,R3 Stop 5,52.557538,13.405,Z2
R3_6,R3 Stop 6,52.565045,13.405,Z2
R3_7,R3 Stop 7,52.572553,13.405,Z2
R3_8,R3 Stop 8,52.58006,13.405,Z3
R3_9,R3 Stop 9,52.587568,13.405,Z3
R3_10,R3 Stop 10,52.595075,13.405,Z3
R3_11,R3 Stop 11,52.602583,13.405,Z3
R3_12,R3 Stop 12,52.61009,13.405,Z4
R4_0,R4 Stop 0,52.52,13.405,Z1
R4_1,R4 Stop 1,52.514701,13.405,Z1
R4_2,R4 Stop 2,52.509401,13.405,Z1
R4_3,R4 Stop 3,52.504102,13.405,Z1
R4_4,R4 Stop 4,52.498802,13.405,Z2
R4_5,R4 Stop 5,52.493503,13.405,Z2
R4_6,R4 Stop 6,52.488203,13.405,Z2
R4_7,R4 Stop 7,52.482904,13.405,Z2
R4_8,R4 Stop 8,52.477605,13.405,Z3
R4_9,R4 Stop 9,52.472305,13.405,Z3
R4_10,R4 Stop 10,52.467006,13.405,Z3
R4_11,R4 Stop 11,52.461706,13.405,Z3
R4_12,R4 Stop 12,52.456407,13.405,Z4
R4_13,R4 Stop 13,52.451108,13.405,Z4
R4_14,R4 Stop 14,52.445808,13.405,Z4
R4_15,R4 Stop 15,52.440509,13.405,Z4
R4_16,R4 Stop 16,52.435209,13.405,Z5
R4_17,R4 Stop 17,52.42991,13.405,Z5
