trip_id,route_id,service_id,direction_id,trip_headsign
R1-0-1,R1,WD,0,R1 Inbound
R1-1-1,R1,WD,1,R1 Outbound
R2-0-2,R2,WD,0,R2 Inbound
R2-1-2,R2,WD,1,R2 Outbound
R3-0-3,R3,WD,0,R3 Inbound
R3-1-3,R3,WD,1,R3 Outbound
R4-0-4,R4,WD,0,R4 Inbound
R4-1-4,R4,WD,1,R4 Outbound
R5-0-5,R5,WD,0,R5 Inbound
R5-1-5,R5,WD,1,R5 Outbound
R6-0-6,R6,WD,0,R6 Inbound
R6-1-6,R6,WD,1,R6 Outbound
R7-0-7,R7,WD,0,R7 Inbound
R7-1-7,R7,WD,1,R7 Outbound
R8-0-8,R8,WD,0,R8 Inbound
R8-1-8,R8,WD,1,R8 Outbound
R9-0-9,R9,WD,0,R9 Inbound
R9-1-9,R9,WD,1,R9 Outbound
B1-0-10,B1,WD,0,B1 Inbound
B1-1-10,B1,WD,1,B1 Outbound
B2-0-11,B2,WD,0,B2 Inbound
B2-1-11,B2,WD,1,B2 Outbound
