trip_id,stop_id,stop_sequence,arrival_time,departure_time
R1-0-1,R1_0,0,02:30:00,02:30:30
R1-0-1,R1_1,1,02:32:00,02:32:30
R1-0-1,R1_2,2,02:34:00,02:34:30
R1-0-1,R1_3,3,02:36:00,02:36:30
R1-0-1,R1_4,4,02:38:00,02:38:30
R1-0-1,R1_5,5,02:40:00,02:40:30
R1-0-1,R1_6,6,02:42:00,02:42:30
R1-0-1,R1_7,7,02:44:00,02:44:30
R1-0-1,R1_8,8,02:46:00,02:46:30
R1-0-1,R1_9,9,02:48:00,02:48:30
R1-0-1,R1_10,10,02:50:00,02:50:30
R1-0-1,R1_11,11,02:52:00,02:52:30
R1-0-1,R1_12,12,02:54:00,02:54:30
R1-0-1,R1_13,13,02:56:00,02:56:30
R1-0-1,R1_14,14,02:58:00,02:58:30
R1-0-1,R1_15,15,03:00:00,03:00:30
R1-0-1,R1_16,16,03:02:00,03:02:30
R1-0-1,R1_17,17,03:04:00,03:04:30
R1-1-1,R1_17,0,01:24:00,01:24:30
R1-1-1,R1_16,1,01:26:00,01:26:30
R1-1-1,R1_15,2,01:28:00,01:28:30
R1-1-1,R1_14,3,01:30:00,01:30:30
R1-1-1,R1_13,4,01:32:00,01:32:30
R1-1-1,R1_12,5,01:34:00,01:34:30
R1-1-1,R1_11,6,01:36:00,01:36:30
R1-1-1,R1_10,7,01:38:00,01:38:30
R1-1-1,R1_9,8,01:40:00,01:40:30
R1-1-1,R1_8,9,01:42:00,01:42:30
R1-1-1,R1_7,10,01:44:00,01:44:30
R1-1-1,R1_6,11,01:46:00,01:46:30
R1-1-1,R1_5,12,01:48:00,01:48:30
R1-1-1,R1_4,13,01:50:00,01:50:30
R1-1-1,R1_3,14,01:52:00,01:52:30
R1-1-1,R1_2,15,01:54:00,01:54:30
R1-1-1,R1_1,16,01:56:00,01:56:30
R1-1-1,R1_0,17,01:58:00,01:58:30
R2-0-2,R2_0,0,03:00:00,03:00:30
R2-0-2,R2_1,1,03:02:00,03:02:30
R2-0-2,R2_2,2,03:04:00,03:04:30
R2-0-2,R2_3,3,03:06:00,03:06:30
R2-0-2,R2_4,4,03:08:00,03:08:30
R2-0-2,R2_5,5,03:10:00,03:10:30
R2-0-2,R2_6,6,03:12:00,03:12:30
R2-0-2,R2_7,7,03:14:00,03:14:30
R2-0-2,R2_8,8,03:16:00,03:16:30
